NCR No,NCR Description,Stage Of Inspection,Equipment,NCR Class,Status,Rectification Required,Proposed Solution,Problem Category,Root Cause,Root Cause Category,Corrective Action,Workman or Management,Disposition,Referred to Customer,Comments from Design,Implemented Solution,Corrective Action Implemented,Validate On,QA Approve On,QC Closure On,Designer Review On,CTQ,PBU,NCR COPQ,Root Cause Finalised in Hours,Time to give disposition in hours
NCR-01504,"Following Dimension deviation has been reported by Mill for Inconel Plate.    Requirements: All the dimension of the plates shall be meet the PO requirement.      Actual Observed: Actual plate’s Dimension observed as below.     1) For L&T Plate No (0400083047 & 0400083048): Actual thickness Reported by mill is 23.3 – 23.5 mm against requirement 24 mm Min. as per PO.   2) For L&T Plate No (0400083038): Actual thickness Reported by mill is 28.08 mm against requirement 32 mm Min. as per PO.   3) For L&T Plate No (0400083040): Actual thickness Reported by mill is 31.11 mm against requirement 32 mm Min. as per PO.   4) For L&T Plate No (0400083041): Actual Plate length Reported by mill is 2860 mm against requirement 2900 mm Min. as per PO.    Objective Evidence: For more detail find attached Mill NCR (VDM-002-20, VDM-006-20, VDM-007-20, VDM-008-20 ).",MILL NCR,Plate,Minor,Closed,No,Accept as it is,Vendor,Poor workmanship / dimensional control,Vendor Mistake,Attached vendor RCA / CA,Management,Accept as it is,No,The deviation reported is within acceptable design allowable limits.,NCR Closed,NULL,#VALUE!,2018-07-16,2018-09-25,2018-06-16,NULL,NULL,NULL,75,238
NCR-01505,"Stage: Project Parts Identification     Requirement : All Project parts shall be offer to QC for identification as per latest drawing requirement.    Finding : Below Project Parts were already Identified and cut, after even parts are re-offered for Identification.                 Qty &  Reason for re-identification are as per below :  Part No. - Qty - Reason for Re-Identification  105 - 03 Nos. - Misplaced by Shop  108 - 03 Nos. - Misplaced by Shop  114 - 01 No. - Cut under size  120 - 01 No.- Cut under size  122- 01 No.- Misplaced by Shop  127 - 01 No.- Rejected due to wrong machined by vendor  128 - 03 Nos.- Misplaced by Shop  139 - 02 Nos.- Misplaced by Shop  151 - 02 Nos.- Misplaced by Shop",Identification,Project,Minor,Closed,Yes,New parts to be identified & cut by laser cutting,Other,Improper Cutting process selected  as plasma instead of laser cutting,Others,New parts to be cut by laser cutting process ,Management,Reject,No,New parts shall be identified as per 20178-DCR-035.,New parts identified with suffix '-R',NULL,#VALUE!,2019-12-13,2019-12-13,2019-11-21,NULL,NULL,NULL,843,1249
20181A-NCR-003,"Project No. 20181A / 20184A / 20191A  Tag No.: 3044-01 / 3074-01 / 5074-03  Satge : Testing of  Dishend MTC after Heat Treatment.  Material : SA-516M-Gr.485 & 14 mm thk.  Heat No – 2817363, Plate No – ACF  HeatTreatment Condition : Intermediate Normalizing + Normalizing after final forming    Testing Summary :   Test                                                Requirement                    Actual Result (Tesnile Transverse)                Actual Result (Tesnile Longitudinal)                                            0.2 % Proof Stress (N/mm2) :         260 Min.                            269                                                               232  UTS (N/mm2) :                                485-620                             464                                                               464  % Elongation  :                                21 Min.                              39.82                                                            39.64      MTC Does not meet the Tensile requirements.  Note : MTC is meeting the Microstructure & Grain Size requirements.",MTC Testing after Heattreatment,Dished End Assembly,Minor,Closed,Yes,New Dished Ends to be made from 16mm thk plate which is available and has passed the test. ,Materials,"RCA-MTC FAILURE- Attached - pl refer the same   Parent plate had tensile values on lower side, which did not meet the requirements after two cycles of normalizing heat treatment  ",Others,New Dished Ends to be made with modified normalizing cycle.,Management,Reject,Yes,Dished ends formed from plate represented by failed the MTC shall be rejected. New Dished ends to be formed from available plate of 16 thk. plate.,New Dished ends formed from available 16 thk. plate as MTC of this plate has passed in required tests after simulation HT. New MTC result passed.,NULL,#VALUE!,2019-06-24,2019-06-24,2019-03-05,NULL,NULL,NULL,843,1654
NCR-01507,Stage : Receipt Inspection of Plate (which will be transfer from old project to OMS)  Requirement: All Parts shall be cut from plate after all receipt inspection process completed.  Finding: Grounding lug (Part No. 114 - 02 Nos.) and Arrow (Part No. 120 - 04 Nos.) are cut from uncleared plate and Handed to shop for Set-up.,Receipt Inspection,Assembly,Minor,Closed,Yes,Unidentified parts to be rejected & removed followed by DPT of Base Metal,Execution,"1. Compliance / System adherence is overlooked (Transfer form completion).    Contributing Cause  1. Due to unexpected Lockdown & job completion pressure, all cycle not completed.  ",PMG/Planning Mistake,New parts to be fabricated with required identification/inspection from Identified plate,Management,Reject,No,Current components not acceptable as it is. New components ensuring traceability to be manufactured,Correction is completed.  Detailed RCA done.,NULL,#VALUE!,2017-12-19,2018-03-01,2017-12-16,NULL,NULL,NULL,144,146
NCR-01508,"Item: S9-B30-A-107 of Sector 9 PS3  Stage:Visual inspection of IWS plates  Requirement: Tool mark on plate S9-B30-A-107 is not acceptable, as per acceptance criteria of Visual inspection, Procedure No. 620-22-QA-DOC-041,R4.  Observation:Tool mark at 2 location observed-                          Dimension of tool mark                          LHS side Hole of Ø31 - 40 mm (L)x 2 mm (W) x 1 mm (D)                          RHS side Hole of Ø31- 30 mm (L)x 1.5 mm (W) x 1 mm (D)  Objective Evidence: TPI witnessed inspection report attached as objective evidence document.  ",Inspection of IWS plate after Machining,Plate,Minor,Closed,No,Use as is,Workmanship,#NAME?,Human Error,"Deviation from centre of hole / Run out to be checked before starting any operation. In case of deviation in Run out or any wear and tear or blunt edge visible on the tool, it will be--replace with new.    Defective tool shall be mark as “Rejected” and shall be scrapped  ",Workman,Repair (Rectify Partially),No,"Sharp edge of tool mark shall be removed by deburring tool to make it smooth. If required, light grinding may be used. However, no excessive parent material shall be removed. The smoothened area shall be tested with Visual Examination followed by LPE.  Ensure minimal material removal while performing the remedial actions. Visual Examination and LPE report post rectification shall be submitted as a part of NCR closure report in IDM.",Sharp edges of the tool marks are merged smooth. Visual and LPE carried out after rectification and found acceptable. Reports attached. Components released for further work. Closed NCR to be submitted in IDM for records.,NULL,#VALUE!,2017-06-10,2017-10-05,2017-06-07,NULL,NULL,NULL,28,92
S010377-NCR-003,Stage - Final Inspection of Catalyst Bed-2    Requirement - Scallops to Scallops(at Bottom side of CB-2) welding shall be left 30mm unwelded from shell inside.    Actual - Scallops to Scallops(at Bottom side of CB-2) welding is carried out for its full length. Kindly refer attached Sketch.,NULL,Other,Minor,Closed,No,Accept as it is,Other,1. Misinterpretation of drawing view ,Others,1.  Specific instruction was given for better clarity.   2.Subsequent all screens are welded as per requirement.,Management,Accept as it is,Yes,Acceptable based on customer acceptance,Accepted As IS.,NULL,#VALUE!,2017-06-10,2018-01-05,2017-06-07,NULL,NULL,NULL,330,642
NCR-01511,"Requirement:Inside & Outside surface of plate shall be free from Dents, Defects and other imperfections.  Deviation : During rolling operation of shell-20(L&T Plate nos :0100052818 ,Heat no:P02575,Thickness:45 mm) following observations are found   1.Dent observed at Outside surface of plate due to loose foreign particle/ material embedded with base metal, which was separated during rolling operation.Size of defect: 25.68 mm Long x 20.1 mm wide x 5.8 mm deep   2.Pitting /imperfection found at outside surface in local area of plate during visual examination.  3.Long Impression mark of plate observed. Size of impression: 218 mm long x 31 mm wide x 3.8 mm deep   Objective evidence: Refer attached mapping report of dents and snaps for more clarity  ",-,Plate,Minor,Closed,Yes,Replacement of Plate with new one,Workmanship,"1. While placing the plate on Shop floor, loose foreign particle/ material may have been stuck on the surface of base metal. This foreign material would have been embedded while rolling the plate and got separated. Foreign material particle stuck would have resulted dent while rolling.  2. Quality of plate received with Pitting / imperfection from mill.  3. Metallic Pipe of compressed air entrapped between Top Roller & Plate while rolling relsulted in long impression mark on inside surface of plate.",Vendor Mistake,1. TBT given to operator. Vendor penalized for the damage  2. Metallic Air pipe replaced with PVC pipe for removing scale,Workman,Reject,No,Replace plate with new one as proposed,NC closed !,NULL,#VALUE!,2018-07-09,2018-07-19,2018-02-21,NULL,NULL,NULL,783,1193
NCR-01512,PO No 04M001455 ; PO Line 1  Required size of plate : 10300 (L) x 2400 (W) x 8 (THK)  Actual size of plate : 10205 (L) x 2400 (W) x 8 (THK)  Refer attached mill NCR for details.,Receipt Inspection,Plate,Minor,Closed,No,Accept as it is ,Vendor,"Due to some error in rolling parameters (slab to plate), there is a reduction of 95 mm in length",Vendor Mistake,Vendor CAPA attached ,Management,Accept as it is,No,Reduced length of plate (10205 mm instead of 10300 mm) is acceptable.,Acceptable as it is based on Design Acceptance.,NULL,#VALUE!,2018-09-05,2018-09-20,2018-08-21,NULL,NULL,NULL,260,331
S020007A-NCR-001,"Project No. : S020007A  Drawing No.: NU-S020007-1453, Sh 1 of 1, R2  Part No.: 1490 (SHELL)  Seam No.: 1453-5 (WEP Buttering)  Traveler No. : SG-1453 R1  OPN No.: 2.69  Inspection Stage:  LPE of machined surfaces of assembly including welds and buttering  Observation: Linear indications observed at interface of  SS309 and 20MnMoNi55 (Buttering on  Housing assembly - SG)  Objective evidence: Attached photograph",LPE after Machining,Nuclear,Minor,Closed,No,Accept as is after comments from Welding & Design dept,Welding,"# Improper weld bead placement during barrier layer for given location resulted LF However, due to limitation of UT, indication could not identify by NDE carried out before PWHT. Moreover, indications might get opened during PWHT due to difference in coefficient of thermal expansion of base material and barrier layer and subsequently found after machining  # Indication might get detected if run in plate removed prior to PWHT and if seam is LPE, UT and RT examined as recommended in L&T norms",Temporary Attachment,"# Indication shall be removed by grinding. Design thickness at given location shall be validated. accordingly, groove shall be merge by min 1:3 taper",Management,Repair (Rectify Partially),Yes,"Liner indications observed on the interface were removed completely by making a groove as per instruction from customer. PT of the groove was cleared. Refer inspection report no. S020007A/SG-1453/01 for dimension of the groove.    The groove shall be merged with OD of housing assembly with min. 1:3 taper, followed by PT.",INDICATION OBSERVED IN LPE REMOVED BY GRINDING AS PER REPAIR PLAN PROVIDED BY WELDING ENGINEER. AFTER CLEARANCE OF LPE GROOVE MERGED WITH BASE MATERIAL WITH 1:3 TAPER. LPE carried out and found satisfactory.,NULL,#VALUE!,2018-12-12,2018-12-26,2018-09-11,NULL,NULL,NULL,143,145
NCR-01514,Required: Tube projection after tube to tubesheet welding -1mm to -3mm as per drawing.  Actual: In one tube of LHS side tubesheet (Part No. 501) projection found -7mm after tube to tubesheet welding. Refer attached sketch for tube hole location.  Objective Evidence: Refer attached photographs.,NULL,Tubesheet,Minor,Closed,Yes,Additional weld reinforcement to be provided  on joint to ensure minimum thickness of weld,Workmanship,Excessive trimming of tube projection at final stage due to loosening of locking screw. ( Human Error.),Dimension Control Fabrication,Tightening of locking screw to be done per 10 tubes of trimming (Derived by doing mock-up).Reference to be marked on threaded portion for visual control. TBT given to concern Supervisor and Trimming team. ,Management,Repair (Rectify Partially),No,Rectification proposal of providing additional reinforcement in weld in the tube to tube sheet joint is acceptable.,NCR Closed.,NULL,#VALUE!,2018-02-09,2018-10-04,2018-02-07,NULL,NULL,NULL,213,215
S020014A-NCR-049,Project No: S020014A (SA-13)  Stage: Dimensional inspection after machining of Steam Outlet Nozzle (IT. 13003) # Extension Pipe (IT. 13027) assembly.  Requirement:   1) Inside Diameter of SON - ?610 (Tol. +0.2/-0.0) mm  2) WEP Thk. of Extension Pipe  - 23.8 (Tol. +/- 0.2) mm  Observation:   1) An Un-machined patch has been observed on ID(? 610 mm) of SON at bottom side (near 20 mm step length for ID ?600). Diameter observed at un-machined patch is between 610.09 to 610.50 mm.  2) WEP Thk. of Extension Pipe is observed as 23.13 to 24 mm.  Objective Evidence: Refer inspection Report No: 1303/580/DE/01 dtd. 10.06.2020 for details.  ,Final,Dished End Assembly,Minor,Closed,No,"accept as it is , as per designer comments ",Execution,"1. Un-machined area observed on Inconel overlay of Steam Outlet Nozzle:   After intermediate machining of overlay, UT indications were observed which were repaired and manually merged. During final machining of overlay, un-machined patch has been observed on the manually merged location.    2). Under-thickness of Extension Pipe:   Manufacturing sequence involves:  a. Set up of Extension Pipe with SON  b. Welding of Extension Pipe with SON  c. ID machining of assembly of Extension Pipe and SON.     Above stages have their inherent limitations, due to which sufficient machining allowance is required on both ID and OD of extension pipe to achieve required ID and thickness.  However, Extension Pipe is procured with finished OD (with allowance only on ID).     In KAPP/ RAPP project, Extension Pipe was procured in the form of a ring with extra material on both ID and OD as design was not finalized at that stage. This extra material on the Extension Pipe helped to achieve minimum thickness requirement  ",Others,"Preventive Action:  1. Un-machined area observed on Inconel overlay of Steam Outlet Nozzle:   For SG Tag C onward, overlay thickness shall be kept more during intermediate machining, such that if UT indication is observed, any local depression due to manual merging is removed in final machining.    L&T Proposal:  1. We propose to accept the deviation as it is, as:  In the unmachined area, the deviation of ID over 610.2 mm is observed at 3 local regions, resulting in increase in radial gap between Venturi and SON ID from 0.71 to 0.85 mm against requirement of 0.45 to 0.7 mm. The increase in radial gap by 0.01 to 0.15 mm is acceptable since it is in local region. Refer below data for details:    Location Diameter Radial gap (max.) Area % of total area  2 610.22 0.71 110x45 0.43%  6 610.5 0.73 40x20 0.07%  7 610.26 0.85 25x18 0.04%  2. Under-thickness of Extension Pipe:  For future projects, extension pipe shall be procured in semi-finished condition (i.e. with excess material on OD and ID).  ",Management,Accept as it is,Yes,"Both the deviations are accepted as it is, refer customer acceptance through mail dated 26-June-20 to L&T letter CCO-151.",Deviation is accepted as is.,NULL,#VALUE!,2018-12-06,2018-12-10,2018-11-27,NULL,NULL,NULL,233,247
S020007A-NCR-002,"Project No. : S020007A  Drawing No.: NU-S020007-1453, Sh 1 of 1, R2  Part No.: 1453 (Housing Assembly)  Traveler No. : SG-1453 R1  OPN No.: 2.68 & 2.72  Inspection Stage:  After Machining Final Dimension inspection of Housing Assembly  Sr No.      Description :                                                    Requirement:                Observation :   1.              Length                                                               1846 mm (+0/-2)           1843 mm  2.              Root Face                                                          1.5 mm (+0.5/-0)           0 - 1 mm  3.              Detail-D5 Distance-53 Symmetric @ 180°   26.5 mm                         31.5 / 23 mm (Found difference of 9.5 mm)  4.              Root Face                                                          1.5 - 2 mm                      2 - 3 mm  5.              Step on Shell OD                                              ---                                     Distance from WEP - 60 mm, Step Width - 95 mm, Depth - 0.4 to 0.7 mm throughout the circumference  Objective evidence: Attached Report No.: S020007A/1453/2.68/2.72/01 Dated: 28-05-2020",Final Dimension inspection,Nuclear,Minor,Closed,No,"Since No corrections feasible in this, to be accepted as it is.",Vendor,"1) For Deviation Sr. No 1 -  No machining margin was available on job hence the decision was take to take clean cut by reducing the height by 1 mm beyond the tolerance. This was reported by vendor in advance and decision was given by L&T.  2) For Deviation Sr No 2 - The root face is minor deviation and it is due to the 2 mm base dimension selected by vendor and due to curvature the D'end, it increased to 3 mm at the other locations.   3) For Deviation Sr No 3 - Operator made mistake in identifying the center line and did machining to easy clean cut.",Vendor Mistake,For balance jobs -  1)  Sufficient Machining margin will be ensured by L&T before sending the job to vendor  2) Cut-out base dimension will be selected as 1.5 mm inplace of 2 mm  3) Vendor is instructed to take center of the rib as punched center-line by L&T.,Management,Accept as it is,Yes,"1. Deviation in inside length of housing assembly is to be accepted as it is.  2. Deviation in root face is to be accepted as it is.  3. Offset in machining of feed pipe support buttering is to be accepted as it is. Special part - Support-02 (part no. 1482) is to be manufactured as per DCR to account for the offset.  4. Deviation in root face shall be accepted as it is, at this stage. Manual correction in root face to be carried out prior to welding.  5. Step shall be smoothly merged with adjacent surface.",Deviations in dimension report of Housing assembly of 1st SG are concessionally accepted.    Refer sr. no. 1 in BARC acceptance vide email dated 21.06.20.    Refer S020007A-DCR-010.,NULL,#VALUE!,2019-01-03,2019-01-07,2018-12-26,NULL,NULL,NULL,50,430
NCR-01517,"  Project No.: S020014B/SA13  Item No.: 13003 # 13002 (Steam outlet nozzle # Torispherical head)   Stage: Visual inspection of partially welded Seam No.: NW1309   Requirement: Weld shall be free from cracks.  Observation: Crack is observed on partially welded joint having length of 1210 mm.  Objective evidence: Report No.: 1303/510/VE/01, Dtd.12.06.2020  ",NULL,Steam Generator,Major,Closed,Yes,(1)SON to be supported using screw jack from bottom  (2)Crack to be removed by grinding  (3)LPE/MPE to be performed & cleared at crack location.  (4)Setup dimensions/ground area dimensions to be checked.  (5)Tacks to be rewelded at  ground area followed by DHT.  (6)These all operation to be covered in LTFPS 1100,Other,"Rather 2 layers (min.) by SMAW, Single pass welding carried out for root welding.",WPS/Wels Plan Violation,"1.Prior to SAW, SMAW welding shall be carried out by Root + Multi-layer as per WPP.  2.All supervisors and w/m will be sensitized to follow/refer documents.",Management,Repair (Rectify Partially),No,Rectification Proposal by Responsible Department and Welding Engineering is acceptable.,Rework performed as per approved LTFPS 7237 and found satisfactory.,Yes,#VALUE!,2019-03-01,2019-03-09,2019-02-27,NULL,NULL,NULL,243,398
NCR-01518,"Project No.: S020014A-D  Item No.:34006 (Support Plate)  Stage: Dimensional Examination of Support Plate after machining, Opn.  No. 50 of LTFPS 34006.  Requirement: WEP shall be made on the correct side of the component as per drawing w.r.t slots location.  Observation: WEP has not been made on the correct side of the component as per drawing w.r.t slots location.  Objective evidence: Refer attached Inspection report No.: 34006/50/DE/01, dtd .11.06.2020  ",NULL,Other,Minor,Closed,No,All 3 nos items rejected & New items to be identify.,Workmanship,Fitter has not referred detail view of WEP in drawing during WEP marking. He has marked WEP on segregated items w/o seeing position of WEP which led opposite side of WEP grinding.,Others,Sensitized fitter for referring drawings prior to marking of WEP and cross check after marking.,Workman,Reject,No,Items to be rejected,"Part no. 34006/3, 4 & 5 shall be rejected.",NULL,#VALUE!,2019-01-17,2019-04-20,2018-12-26,NULL,NULL,NULL,718,813
NCR-01519,Manway  Item 40435-8111  Drawing No LTHE-RORE-05350111 R2   Hub OD of nozzle is found 1155 mm against required 1158 (+2/-0) mm as per drawing.,Receipt Inspection,Reactor,Minor,Closed,No,Accept as it is ,Vendor,Improper tool holder / Vibration during machining / Operator mistake ,Dimension Control Machining,Supplier RCA / CAPA attached,Management,Accept as it is,No,Acceptable. ,Accepted as it is based on Design Acceptance.,NULL,#VALUE!,2019-01-17,2019-02-09,2018-12-03,NULL,NULL,NULL,534,647
NCR-01520,"Seam CW3 - Visual inspection after clad stripping  Part No. 101 (20 mm + 3 mm Thk.) : After clad stripping depth observed 7 mm (Maximum), accordingly base metal thickness is reduced up to 4 mm.  Part No. 102 (18 mm + 3 mm Thk.) : After clad stripping depth observed 7 mm (Maximum), accordingly base metal thickness is reduced up to 4 mm.  For detail refer attached clad stripping report.",VISUAL INSPECTION,Shell,Minor,Closed,Yes,Restore thickness up to 2mm to maintain thickness as per design requirement as per welding engineering Guidance/comment  ,Workmanship,1. Lack of Skill/competency of grinder to maintain required thickness in full seam length during grinding in groove width of 24 mm,Human Error,1.Grinders/Supervisor sensitised  by sharing incident . Critical Quality aspect also covered in TBT   2.Training imparted to Grinders on site by Execution supervisor   3. Carry out fluch grinding in Block by block manner with checking using Gauge /template   4 Clad stripping width in rest of the seam increased up to 10 mm to avoid two time clad stripping.,Workman,Rework (Complete Rectification),No,Follow Welding Engineer comments,Accepted.,NULL,#VALUE!,2018-12-19,#VALUE!,2018-12-08,NULL,NULL,NULL,1216,2801
S020014A-NCR-059,"Project No.: S020014A-D  Material: SA106 / SA106M Gr.B Carbon Steel Pipes  Material Specification No.: NU-SG-0014-MAT-402 Rev.00  Heat No.: A4541, A8573, A2139, A9112 (for OD 323.8 X Thk. 33.32 mm), 4818821 (for OD 219.1 X Thk. 23.01 mm)  CMTR No. (For OD 323.8 X Thk. 33.32 mm):  (1) MSL-14/IBR/3776A/1/2015  (2) MSL-14/IBR/2226A/1/2017  (3) MSL-14/IBR/2049B/1/2017  (4) MSL-14/IBR/1232A/1/2018    CMTR No. (For OD 219.1 X Thk. 23.01 mm):  (1) JQ356615/1  (2) JQ356615/2     Deviations:  (A) For OD 323.8 X Thk. 33.32 mm:  (1) Fine Grain & vacuum Degassing are not certified in TC No. MSL-14/IBR/3776A/1/2015 only.  (2) Impact test at higher than +18°C is not certified in all TCs.  (3) UT is not performed. Hence, report / certification in TCs not available.  (4) Marking details are not as per requirement as per SA106 / SA106M and SA530 / SA530M.    (B) For OD 219.10 X Thk. 23.01 mm:  (1) Fine Grain Melting practice is not certified in TCs.  (2) UT is not performed. Hence, report / certification in TCs not available.  (3) Marking details are not as per requirement as per SA106 / SA106M and SA530 / SA530M.    Objective Evidence:  Refer attached NPCIL-QS signed check list and TCs of both sizes.    Note: Material procured through Stockiest route.",TC REVIEW,Steam Generator,Minor,Closed,Yes,Nil,Materials,Material has been procured through standard stock route of Mill,Base Material Defect,"To avoid recurrence of this type of deviation, the material will be procured through manufacturing route complying all material specification requirement, whenever sufficient MOQ is available for procurement",Management,Regrade (Accept Conditionally),Yes,"The deviations are accepted as it is, subject to meeting testing as per approved LTFPS.",The deviations are accepted as it is subject to meeting testing as per approved LTFPS-7215 (latest revision). New NCR will be raised in case of any deviation observed during testing.,NULL,#VALUE!,2019-02-20,2019-03-26,2019-02-20,NULL,NULL,NULL,810,3999
S040465B-NCR-001,"Item Y-Ring  Heat No 106815  Requirement: Corner radius of R20 on shell side WEP of Y-ring  Actual: During corner radius  machining of shell side WEP of  Y-ring, excessive material is removed. Refer attached mill NCR for details. ",NULL,Column,Minor,Closed,Yes,Carry out smooth merging ,Vendor,Operator mistake ,Dimension Control Machining,Supplier RCA / CAPA attached,Management,Accept as it is,Yes,Long merging the indication due to excessive material is removal is acceptable.,Rectification carried out and found satisfactory.,NULL,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NULL,NULL,NULL,459,577
NCR-01524," ""Requirement  : As per Dow specification, Under thickness not allowed, Required thickness of Shell - 35 mm   Deviation :  While removing Temporary attachment  base metal damage is observed on Air Grid assembly ( Position : 2901/ Inner skirt top shell)   Objective Evidence : Refer –  1. Annexure 1 , showing  images of  base metal damage indication.""",INPROCESS INSPECTION,Internals,Minor,Closed,Yes,Long merge by grinding and ensure drawing thickness,Workmanship,"Cutting accessibility was not proper in between two fixture rings. The machine was imbalance during cutting in an overhead position, grinding wheel touched with a base metal.",Temporary Attachment,"1.Avoid temporary attachments.   2.Job to be placed to get better accessibility/feasibility of grinding.  3.Identify persons/grinders for critical activity. Conduct TBT before start of operation.  4.In the case of SS Internals fabrication in LEMF-5, the following persons are         allowed to remove temporary attachments (Selected as per their Experience and Mock-up).                  A. Upendhra R. Prasad                  B. Mahesh K. Bariya                  C. Viram K. Parmar  5.Give TBT before start cutting.  ",Management,Accept as it is,No,Acceptable based on following condition.  1)  Long merge by grinding   2) Ensure the balance thickness meet the drawing thickness.   ,After Grinding thickness meeting drawing requirment.,NULL,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NULL,NULL,NULL,1532,1704
NCR-01525,"REQUIREMENT :- SADDLE FABRICATION SHALL BE DONE AS PER DIMENSION GIVEN IN LATEST DRAWING  (LTHE-FPOH-19029005 REV. R3 )    ACTUAL :-DURING  INSPECTION , DEVIATION OBSERVED IN RIB SPACE DIMENSION  WHICH IS NOT AS PER LATEST DRAWING  (LTHE-FPOH-19029005 REV. R3 )    EVIDENCE :-REFER ATTACHED INSPECTION REPORT (ANNEXURE-1)",NULL,Other,Minor,Closed,Yes,Required dimensions are to be maintained for saddle supports as per latest drawing by re-establishing with new material as required.,Design/Drawing,H-PC3B-S040525A/001,Drawing Error,Drawing & DCR need to be followed with the required systems for latest requirement. DCR Shall be issued through DIN. DCR Shall be updated in the drawing summary of changes.   ,Management,Rework (Complete Rectification),No,Rectification/Correction Proposed is acceptable. Saddle shall be fabricated as per latest drawing.,Saddle are require to be made new as per latest drawing hence NCR is closed .    New saddle to be made and inspected as per latest documents,NULL,#VALUE!,2019-03-11,2019-03-30,2019-01-22,NULL,NULL,NULL,163,786
NCR-01526,Item - Ring Distributor(P-7401) to Hood Plate(P-7403) joint    Seam No - NP7408/1-2    Requirement - Offset shall be maintained within 3.25mm     Actual - Offset observed 3 to 8mm at majority of the locations.,NULL,Internals,Minor,Closed,Yes,"Cut the seam - One joint and correct ovality and re set, re weld",Workmanship,Inadequate sequence followed ,Dimension Control Fabrication,"Project no. 40401 & 40402, ring distributor pipe ovality correction to be done prior to setup with hood plate",Workman,Repair (Rectify Partially),No,Proposed rectification is acceptable to meet the drawing dimension.  NDT to be followed as per Test Plan.,Repair Work verified.  Refer attached is the RCA for Details.,NULL,#VALUE!,2019-03-13,2019-07-15,2019-03-11,NULL,NULL,NULL,266,321
NCR-01527,During final inspection 4 Nos of LHS  tubesheet bolt holes ID is found out of tolerance.   Refer attached inspection report for actual hole ID and location of bolt holes.,NULL,Tubesheet,Minor,Closed,Yes,Hole number 11 & 18 to be rectified by fill-up.   Hole number 73 & 79 to be accepted as it is. ,Vendor,Lack of standard procedure for checking the alignment of spindle before starting of drilling operation,Vendor Mistake,- Spindle taper runout rectification was done by third party (SETCO SPINDLES INDIA PVT LTD.)  - After rectification spindle run out was checked at modular drill cutting point & found within 0.008mm.  - Before start of drilling operation spindle runout of modular drill checked & maintain 0.01mm  - Check point added that if run-out observed more than 0.04 mm then runout to be sent 0.01mm  - After rectification 15 Tubesheet bolt hole drilling done & without any problem.,Management,Repair (Rectify Partially),No,1) Rectification Proposed is acceptable.   2) Seam no BU01527-1 (hole no 11) and BU01527-2 (hole no 18) shall be used for rectification  3) NDT shall be followed after rectification  ,"Rectification done as per comments on NCR, found satisfactory",NULL,#VALUE!,2017-06-19,2017-07-05,2017-06-10,NULL,NULL,NULL,2662,3043
NCR-01529,"Item - Ring Dist.Pipes (Pipe Segment-5 & 6) (Size-13mm thk X 297.8mm ID)    Stage - Surveillance    Requirement - There shall be no undocumented weld build up on base metal    Actual - After forming of Pipes, Unauthorized weld build up observed at intrados of two nos pipes. Refer attached photos.    Location - 1 ~(25mm x 150mm)  Location - 2 ~(25mm x 250mm)  Location - 3 ~(70mm x 300mm)    Vendor - Omkar Industries.",NULL,Internals,Major,Closed,Yes,1. Undocumented weld to be removed up to base metal.  2. Ensure proper removal by chemical etching  3. New buildup to be carried out as per repair procedure issued by welding dept.,Vendor,1. Violation of PO clause no-1.5  2. Lack of seriousness in vendor's team regarding product criticality  3. Casual approach of operator,Vendor Mistake,1.Existing weld build up to be removed and required build up to be carried out as per approved weld repair plan.  2.Steep Inside impression at one location to be ground off to match the inside profile  3.Dist. Pipes of rest job shall be checked for Pickling and passivation immediately after forming to verify for any weld build up   (Action by PMG and QC )  4.Forming Vendor M/s Omkar Industries is put on Holiday list for all future projects.,Workman,Repair (Rectify Partially),No,"Proposed rectification accept to meet the job requirement. Use new seam nos. NP7441, NP7442 & NP 7443",Repair work verified.,Yes,#VALUE!,2017-06-27,2017-06-27,2017-06-21,NULL,NULL,NULL,113,168
NCR-01532,"Item – SS Plate – 120 THK  Stage – In-Receipt Inspection  Requirement – As per SA 480M Table A3.17, Under tolerance of plate THK is allowed up to 0.30 mm.  Finding - Plate THK found are under tolerance as 119.25 to 119.65 mm at 5 location, Refer attached ARM, MTC, THK Mapping sketch and photo of measurement for ref.  Plate Manufacturer – SIJ ACRONI D.O.O  ",Receipt inspection,Plate,Minor,Closed,No,"The lower thickness is measured in local area, By reversing plate cutting layout lower thickness area doesn't  fall under final product area and also mechanical properties of the plate is at higher side. Hence plate is acceptable as it is.",Other,Undulation at one corner during Rolling of plate,Vendor Mistake,Reversal of Plate cutting layout by design department,Workman,Accept as it is,No,"Reduction in thickness can be compensated by increasing the height by min. 2mm. Accordingly, tolerance on beam height shall be considered (+2,+5) instead of (+0,+5) mm.",Subcontracting Drawing is revised to incorporate the variation in Thk. being adjusted in Height.  Refer attached.,NULL,#VALUE!,2017-07-17,2017-12-08,2017-04-15,NULL,NULL,NULL,437,438
